TransactionID,CustomerID,TransactionDate,Amount,Category,DayOfWeek,Month,Hour,PriceRange
0,2869,2023-01-01 00:00:00,242.74,Electronics,6,1,0,Medium
1,1424,2023-01-01 01:00:00,132.46,Clothing,6,1,1,Medium
2,1948,2023-01-01 02:00:00,66.99,Clothing,6,1,2,Low
3,3414,2023-01-01 03:00:00,412.16,Electronics,6,1,3,High
4,1436,2023-01-01 04:00:00,310.24,Groceries,6,1,4,High
5,3096,2023-01-01 05:00:00,212.23,Clothing,6,1,5,Medium
6,1834,2023-01-01 06:00:00,8.79,Electronics,6,1,6,Low
7,2440,2023-01-01 07:00:00,417.0,Electronics,6,1,7,High
8,3043,2023-01-01 08:00:00,324.04,Clothing,6,1,8,High
9,1377,2023-01-01 09:00:00,440.43,Groceries,6,1,9,High
10,3701,2023-01-01 10:00:00,118.5,Electronics,6,1,10,Medium
11,1631,2023-01-01 11:00:00,397.23,Groceries,6,1,11,High
12,3491,2023-01-01 12:00:00,225.1,Groceries,6,1,12,Medium
13,4805,2023-01-01 13:00:00,357.53,Groceries,6,1,13,High
14,2939,2023-01-01 14:00:00,153.29,Groceries,6,1,14,Medium
15,2723,2023-01-01 15:00:00,252.41,Clothing,6,1,15,Medium
16,2133,2023-01-01 16:00:00,432.58,Groceries,6,1,16,High
17,2478,2023-01-01 17:00:00,375.57,Groceries,6,1,17,High
18,1070,2023-01-01 18:00:00,395.75,Health,6,1,18,High
19,2653,2023-01-01 19:00:00,70.84,Health,6,1,19,Low
20,3294,2023-01-01 20:00:00,166.24,Clothing,6,1,20,Medium
21,3744,2023-01-01 21:00:00,367.24,Groceries,6,1,21,High
22,3549,2023-01-01 22:00:00,118.91,Groceries,6,1,22,Medium
23,1126,2023-01-01 23:00:00,243.5,Electronics,6,1,23,Medium
24,2523,2023-01-02 00:00:00,258.07,Health,0,1,0,Medium
25,1029,2023-01-02 01:00:00,31.11,Health,0,1,1,Low
26,3499,2023-01-02 02:00:00,45.36,Clothing,0,1,2,Low
27,3940,2023-01-02 03:00:00,142.36,Electronics,0,1,3,Medium
28,3562,2023-01-02 04:00:00,215.94,Electronics,0,1,4,Medium
29,1513,2023-01-02 05:00:00,220.63,Clothing,0,1,5,Medium
30,3120,2023-01-02 06:00:00,76.7,Groceries,0,1,6,Low
31,3469,2023-01-02 07:00:00,243.68,Clothing,0,1,7,Medium
32,2958,2023-01-02 08:00:00,60.96,Health,0,1,8,Low
33,1433,2023-01-02 09:00:00,310.95,Electronics,0,1,9,High
34,4776,2023-01-02 10:00:00,431.37,Electronics,0,1,10,High
35,1025,2023-01-02 11:00:00,436.5,Health,0,1,11,High
36,4185,2023-01-02 12:00:00,57.03,Clothing,0,1,12,Low
37,3288,2023-01-02 13:00:00,358.91,Electronics,0,1,13,High
38,2262,2023-01-02 14:00:00,452.82,Clothing,0,1,14,High
39,3699,2023-01-02 15:00:00,309.45,Groceries,0,1,15,High
40,4613,2023-01-02 16:00:00,101.53,Clothing,0,1,16,Medium
41,4548,2023-01-02 17:00:00,43.09,Clothing,0,1,17,Low
42,1295,2023-01-02 18:00:00,179.96,Electronics,0,1,18,Medium
43,4818,2023-01-02 19:00:00,240.85,Groceries,0,1,19,Medium
44,3893,2023-01-02 20:00:00,110.33,Groceries,0,1,20,Medium
45,2865,2023-01-02 21:00:00,37.46,Clothing,0,1,21,Low
46,2349,2023-01-02 22:00:00,230.16,Groceries,0,1,22,Medium
47,2887,2023-01-02 23:00:00,173.75,Electronics,0,1,23,Medium
48,2572,2023-01-03 00:00:00,458.57,Groceries,1,1,0,High
49,1682,2023-01-03 01:00:00,166.5,Health,1,1,1,Medium
50,1906,2023-01-03 02:00:00,84.69,Electronics,1,1,2,Low
51,2972,2023-01-03 03:00:00,236.3,Groceries,1,1,3,Medium
52,2565,2023-01-03 04:00:00,349.27,Electronics,1,1,4,High
53,3851,2023-01-03 05:00:00,81.77,Clothing,1,1,5,Low
54,3127,2023-01-03 06:00:00,326.93,Health,1,1,6,High
55,3668,2023-01-03 07:00:00,315.36,Clothing,1,1,7,High
56,3682,2023-01-03 08:00:00,418.02,Clothing,1,1,8,High
57,2667,2023-01-03 09:00:00,193.45,Health,1,1,9,Medium
58,2770,2023-01-03 10:00:00,270.72,Health,1,1,10,Medium
59,4069,2023-01-03 11:00:00,409.79,Groceries,1,1,11,High
60,2940,2023-01-03 12:00:00,308.05,Electronics,1,1,12,High
61,1493,2023-01-03 13:00:00,265.84,Clothing,1,1,13,Medium
62,1991,2023-01-03 14:00:00,258.2,Health,1,1,14,Medium
63,2754,2023-01-03 15:00:00,234.86,Electronics,1,1,15,Medium
64,2641,2023-01-03 16:00:00,203.18,Health,1,1,16,Medium
65,3877,2023-01-03 17:00:00,278.76,Groceries,1,1,17,Medium
66,3342,2023-01-03 18:00:00,76.28,Health,1,1,18,Low
67,3435,2023-01-03 19:00:00,356.9,Clothing,1,1,19,High
68,2572,2023-01-03 20:00:00,17.79,Health,1,1,20,Low
69,1551,2023-01-03 21:00:00,220.52,Health,1,1,21,Medium
70,3356,2023-01-03 22:00:00,150.85,Clothing,1,1,22,Medium
71,3846,2023-01-03 23:00:00,261.39,Health,1,1,23,Medium
72,1554,2023-01-04 00:00:00,146.02,Electronics,2,1,0,Medium
73,1756,2023-01-04 01:00:00,118.3,Health,2,1,1,Medium
74,1653,2023-01-04 02:00:00,321.5,Electronics,2,1,2,High
75,1281,2023-01-04 03:00:00,128.61,Health,2,1,3,Medium
76,3448,2023-01-04 04:00:00,384.21,Groceries,2,1,4,High
77,4952,2023-01-04 05:00:00,331.94,Health,2,1,5,High
78,2467,2023-01-04 06:00:00,67.29,Electronics,2,1,6,Low
79,2928,2023-01-04 07:00:00,490.08,Electronics,2,1,7,High
80,1090,2023-01-04 08:00:00,40.9,Clothing,2,1,8,Low
81,1781,2023-01-04 09:00:00,438.71,Clothing,2,1,9,High
82,2400,2023-01-04 10:00:00,483.87,Clothing,2,1,10,High
83,1576,2023-01-04 11:00:00,469.11,Groceries,2,1,11,High
84,4237,2023-01-04 12:00:00,350.98,Clothing,2,1,12,High
85,1657,2023-01-04 13:00:00,126.74,Groceries,2,1,13,Medium
86,3739,2023-01-04 14:00:00,224.64,Groceries,2,1,14,Medium
87,2698,2023-01-04 15:00:00,462.49,Health,2,1,15,High
88,3869,2023-01-04 16:00:00,248.49,Electronics,2,1,16,Medium
89,2608,2023-01-04 17:00:00,310.15,Health,2,1,17,High
90,4387,2023-01-04 18:00:00,43.82,Electronics,2,1,18,Low
91,1609,2023-01-04 19:00:00,61.53,Electronics,2,1,19,Low
92,3828,2023-01-04 20:00:00,93.47,Clothing,2,1,20,Low
93,3561,2023-01-04 21:00:00,345.49,Health,2,1,21,High
94,4675,2023-01-04 22:00:00,336.36,Electronics,2,1,22,High
95,2951,2023-01-04 23:00:00,164.64,Electronics,2,1,23,Medium
96,3601,2023-01-05 00:00:00,27.77,Groceries,3,1,0,Low
97,4174,2023-01-05 01:00:00,15.98,Electronics,3,1,1,Low
98,2027,2023-01-05 02:00:00,401.55,Clothing,3,1,2,High
99,2390,2023-01-05 03:00:00,316.88,Clothing,3,1,3,High
100,1545,2023-01-05 04:00:00,470.23,Electronics,3,1,4,High
101,2837,2023-01-05 05:00:00,446.45,Electronics,3,1,5,High
102,3344,2023-01-05 06:00:00,451.54,Clothing,3,1,6,High
103,1020,2023-01-05 07:00:00,183.58,Clothing,3,1,7,Medium
104,1509,2023-01-05 08:00:00,30.9,Groceries,3,1,8,Low
105,2415,2023-01-05 09:00:00,349.08,Electronics,3,1,9,High
106,3808,2023-01-05 10:00:00,369.85,Electronics,3,1,10,High
107,1493,2023-01-05 11:00:00,174.67,Clothing,3,1,11,Medium
108,2492,2023-01-05 12:00:00,321.7,Clothing,3,1,12,High
109,1528,2023-01-05 13:00:00,493.98,Groceries,3,1,13,High
110,3331,2023-01-05 14:00:00,481.23,Clothing,3,1,14,High
111,3446,2023-01-05 15:00:00,190.99,Health,3,1,15,Medium
112,4669,2023-01-05 16:00:00,188.38,Clothing,3,1,16,Medium
113,1710,2023-01-05 17:00:00,393.36,Health,3,1,17,High
114,4881,2023-01-05 18:00:00,295.16,Clothing,3,1,18,Medium
115,1352,2023-01-05 19:00:00,194.67,Groceries,3,1,19,Medium
116,1306,2023-01-05 20:00:00,340.69,Clothing,3,1,20,High
117,2507,2023-01-05 21:00:00,150.44,Health,3,1,21,Medium
118,2387,2023-01-05 22:00:00,18.55,Clothing,3,1,22,Low
119,2527,2023-01-05 23:00:00,463.1,Clothing,3,1,23,High
120,4339,2023-01-06 00:00:00,84.99,Groceries,4,1,0,Low
121,2948,2023-01-06 01:00:00,357.16,Clothing,4,1,1,High
122,2236,2023-01-06 02:00:00,143.88,Electronics,4,1,2,Medium
123,4713,2023-01-06 03:00:00,155.54,Groceries,4,1,3,Medium
124,1648,2023-01-06 04:00:00,317.01,Health,4,1,4,High
125,1944,2023-01-06 05:00:00,239.19,Groceries,4,1,5,Medium
126,4817,2023-01-06 06:00:00,373.43,Clothing,4,1,6,High
127,3782,2023-01-06 07:00:00,499.24,Electronics,4,1,7,High
128,4228,2023-01-06 08:00:00,474.67,Health,4,1,8,High
129,3237,2023-01-06 09:00:00,305.79,Electronics,4,1,9,High
130,1467,2023-01-06 10:00:00,89.84,Health,4,1,10,Low
131,1797,2023-01-06 11:00:00,359.78,Groceries,4,1,11,High
132,4074,2023-01-06 12:00:00,182.07,Groceries,4,1,12,Medium
133,3471,2023-01-06 13:00:00,226.31,Health,4,1,13,Medium
134,4981,2023-01-06 14:00:00,429.78,Health,4,1,14,High
135,4381,2023-01-06 15:00:00,350.55,Health,4,1,15,High
136,2306,2023-01-06 16:00:00,340.14,Groceries,4,1,16,High
137,2241,2023-01-06 17:00:00,422.07,Health,4,1,17,High
138,1964,2023-01-06 18:00:00,102.39,Clothing,4,1,18,Medium
139,2463,2023-01-06 19:00:00,54.81,Groceries,4,1,19,Low
140,1758,2023-01-06 20:00:00,76.17,Groceries,4,1,20,Low
141,1729,2023-01-06 21:00:00,112.11,Groceries,4,1,21,Medium
142,1559,2023-01-06 22:00:00,485.61,Groceries,4,1,22,High
143,1535,2023-01-06 23:00:00,365.49,Health,4,1,23,High
144,3382,2023-01-07 00:00:00,225.55,Clothing,5,1,0,Medium
145,1429,2023-01-07 01:00:00,346.63,Clothing,5,1,1,High
146,1149,2023-01-07 02:00:00,420.65,Clothing,5,1,2,High
147,3062,2023-01-07 03:00:00,79.28,Health,5,1,3,Low
148,1576,2023-01-07 04:00:00,304.32,Clothing,5,1,4,High
149,3039,2023-01-07 05:00:00,134.57,Health,5,1,5,Medium
150,2689,2023-01-07 06:00:00,463.64,Health,5,1,6,High
151,4305,2023-01-07 07:00:00,187.82,Groceries,5,1,7,Medium
152,4351,2023-01-07 08:00:00,83.27,Electronics,5,1,8,Low
153,2939,2023-01-07 09:00:00,219.02,Clothing,5,1,9,Medium
154,2500,2023-01-07 10:00:00,280.37,Health,5,1,10,Medium
155,2541,2023-01-07 11:00:00,366.28,Clothing,5,1,11,High
156,3816,2023-01-07 12:00:00,232.48,Groceries,5,1,12,Medium
157,1195,2023-01-07 13:00:00,465.14,Health,5,1,13,High
158,2831,2023-01-07 14:00:00,164.93,Health,5,1,14,Medium
159,3061,2023-01-07 15:00:00,489.45,Electronics,5,1,15,High
160,3525,2023-01-07 16:00:00,373.17,Clothing,5,1,16,High
161,1558,2023-01-07 17:00:00,378.28,Electronics,5,1,17,High
162,4811,2023-01-07 18:00:00,97.29,Clothing,5,1,18,Low
163,4614,2023-01-07 19:00:00,220.98,Electronics,5,1,19,Medium
164,1926,2023-01-07 20:00:00,398.86,Health,5,1,20,High
165,1529,2023-01-07 21:00:00,103.7,Health,5,1,21,Medium
166,3780,2023-01-07 22:00:00,129.73,Clothing,5,1,22,Medium
167,3076,2023-01-07 23:00:00,101.77,Electronics,5,1,23,Medium
168,4682,2023-01-08 00:00:00,320.73,Groceries,6,1,0,High
169,4509,2023-01-08 01:00:00,76.78,Electronics,6,1,1,Low
170,1115,2023-01-08 02:00:00,205.43,Clothing,6,1,2,Medium
171,2018,2023-01-08 03:00:00,223.7,Health,6,1,3,Medium
172,2483,2023-01-08 04:00:00,85.36,Health,6,1,4,Low
173,4091,2023-01-08 05:00:00,162.01,Groceries,6,1,5,Medium
174,3948,2023-01-08 06:00:00,317.2,Groceries,6,1,6,High
175,1211,2023-01-08 07:00:00,256.4,Clothing,6,1,7,Medium
176,2405,2023-01-08 08:00:00,250.0,Health,6,1,8,Medium
177,3718,2023-01-08 09:00:00,497.96,Clothing,6,1,9,High
178,3475,2023-01-08 10:00:00,473.16,Clothing,6,1,10,High
